,effortsLeft,effortsRight,r01,r02,r12
47,"[-1,-1,0,-1]","[0,1,0,-1]",0.18181818181818182,0.36363636363636365,0.45454545454545453
48,"[-1,-1,0,-1]","[0,1,0,1]",0.15384615384615385,0.0,0.8461538461538461
49,"[-1,-1,0,-1]","[0,1,1,-1]",0.5833333333333334,0.3333333333333333,0.08333333333333333
50,"[-1,-1,0,-1]","[1,-1,-1,0]",0.18181818181818182,0.09090909090909091,0.7272727272727273
51,"[-1,-1,0,-1]","[1,-1,1,0]",0.45454545454545453,0.09090909090909091,0.45454545454545453
52,"[-1,-1,0,-1]","[1,0,-1,-1]",0.4,0.6,0.0
53,"[-1,-1,0,-1]","[1,0,-1,0]",0.5,0.0,0.5
54,"[-1,-1,0,-1]","[1,0,-1,1]",0.2727272727272727,0.09090909090909091,0.6363636363636364
55,"[-1,-1,0,-1]","[1,0,0,-1]",0.25,0.6666666666666666,0.08333333333333333
56,"[-1,-1,0,-1]","[1,0,0,1]",0.18181818181818182,0.0,0.8181818181818182
57,"[-1,-1,0,-1]","[1,0,1,0]",0.1,0.5,0.4
58,"[-1,-1,0,-1]","[1,0,1,1]",0.45454545454545453,0.09090909090909091,0.45454545454545453
59,"[-1,-1,0,-1]","[1,1,0,1]",0.36363636363636365,0.18181818181818182,0.45454545454545453
60,"[-1,-1,0,-1]","[1,1,1,0]",0.09090909090909091,0.36363636363636365,0.5454545454545454
61,"[-1,-1,0,0]","[-1,-1,-1,0]",0.8333333333333334,0.0,0.16666666666666666
62,"[-1,-1,0,0]","[-1,-1,0,-1]",0.9090909090909091,0.0,0.09090909090909091
63,"[-1,-1,0,0]","[-1,-1,0,1]",0.6,0.1,0.3
64,"[-1,-1,0,0]","[-1,-1,1,0]",0.8333333333333334,0.08333333333333333,0.08333333333333333
65,"[-1,-1,0,0]","[-1,0,-1,-1]",0.9285714285714286,0.0,0.07142857142857142
66,"[-1,-1,0,0]","[-1,0,1,-1]",0.8181818181818182,0.0,0.18181818181818182
67,"[-1,-1,0,0]","[-1,0,1,0]",0.7272727272727273,0.18181818181818182,0.09090909090909091
68,"[-1,-1,0,0]","[-1,1,0,-1]",0.7857142857142857,0.14285714285714285,0.07142857142857142
69,"[-1,-1,0,0]","[-1,1,0,0]",0.7272727272727273,0.18181818181818182,0.09090909090909091
70,"[-1,-1,0,0]","[-1,1,1,0]",0.75,0.08333333333333333,0.16666666666666666
71,"[-1,-1,0,0]","[0,-1,0,1]",0.5,0.0,0.5
72,"[-1,-1,0,0]","[0,-1,1,1]",0.8,0.0,0.2
73,"[-1,-1,0,0]","[0,0,1,-1]",0.9,0.0,0.1
74,"[-1,-1,0,0]","[0,0,1,1]",0.75,0.08333333333333333,0.16666666666666666
75,"[-1,-1,0,0]","[0,1,-1,0]",0.8,0.0,0.2
76,"[-1,-1,0,0]","[0,1,-1,1]",0.8181818181818182,0.0,0.18181818181818182
77,"[-1,-1,0,0]","[0,1,0,-1]",0.8181818181818182,0.0,0.18181818181818182
78,"[-1,-1,0,0]","[0,1,0,1]",0.4,0.2,0.4
79,"[-1,-1,0,0]","[0,1,1,-1]",0.9,0.1,0.0
80,"[-1,-1,0,0]","[0,1,1,0]",0.7272727272727273,0.0,0.2727272727272727
81,"[-1,-1,0,0]","[1,-1,0,-1]",0.7272727272727273,0.0,0.2727272727272727
82,"[-1,-1,0,0]","[1,-1,0,1]",0.5454545454545454,0.09090909090909091,0.36363636363636365
83,"[-1,-1,0,0]","[1,0,-1,1]",0.9166666666666666,0.0,0.08333333333333333
84,"[-1,-1,0,0]","[1,0,0,1]",0.5454545454545454,0.0,0.45454545454545453
85,"[-1,-1,0,0]","[1,0,1,-1]",1.0,0.0,0.0
86,"[-1,-1,0,0]","[1,0,1,0]",1.0,0.0,0.0
87,"[-1,-1,0,0]","[1,1,-1,0]",0.6363636363636364,0.0,0.36363636363636365
88,"[-1,-1,0,0]","[1,1,0,-1]",0.8571428571428571,0.07142857142857142,0.07142857142857142
89,"[-1,-1,0,0]","[1,1,0,0]",0.36363636363636365,0.09090909090909091,0.5454545454545454
90,"[-1,-1,0,1]","[-1,-1,1,0]",0.7857142857142857,0.07142857142857142,0.14285714285714285
91,"[-1,-1,0,1]","[-1,0,-1,-1]",0.9166666666666666,0.0,0.08333333333333333
92,"[-1,-1,0,1]","[-1,0,-1,0]",0.9090909090909091,0.0,0.09090909090909091
93,"[-1,-1,0,1]","[-1,0,0,-1]",0.7272727272727273,0.0,0.2727272727272727
94,"[-1,-1,0,1]","[-1,0,0,1]",0.38461538461538464,0.07692307692307693,0.5384615384615384
95,"[-1,-1,0,1]","[-1,0,1,1]",0.8,0.0,0.2
96,"[-1,-1,0,1]","[-1,1,0,-1]",0.9090909090909091,0.0,0.09090909090909091
97,"[-1,-1,0,1]","[0,-1,-1,-1]",1.0,0.0,0.0
98,"[-1,-1,0,1]","[0,-1,-1,0]",0.75,0.0,0.25
99,"[-1,-1,0,1]","[0,-1,0,-1]",0.9,0.0,0.1
100,"[-1,-1,0,1]","[0,-1,0,1]",0.5454545454545454,0.09090909090909091,0.36363636363636365
101,"[-1,-1,0,1]","[0,-1,1,-1]",0.8333333333333334,0.0,0.16666666666666666
102,"[-1,-1,0,1]","[0,-1,1,0]",0.7272727272727273,0.0,0.2727272727272727
103,"[-1,-1,0,1]","[0,-1,1,1]",0.6,0.0,0.4
104,"[-1,-1,0,1]","[0,0,1,1]",0.6666666666666666,0.0,0.3333333333333333
105,"[-1,-1,0,1]","[0,1,-1,-1]",1.0,0.0,0.0
106,"[-1,-1,0,1]","[0,1,0,-1]",0.6923076923076923,0.15384615384615385,0.15384615384615385
107,"[-1,-1,0,1]","[1,-1,-1,0]",0.8,0.1,0.1
108,"[-1,-1,0,1]","[1,-1,0,-1]",0.8,0.0,0.2
109,"[-1,-1,0,1]","[1,-1,0,1]",0.16666666666666666,0.16666666666666666,0.6666666666666666
110,"[-1,-1,0,1]","[1,-1,1,0]",0.8,0.0,0.2
111,"[-1,-1,0,1]","[1,0,0,1]",0.5833333333333334,0.16666666666666666,0.25
112,"[-1,-1,0,1]","[1,0,1,0]",0.45454545454545453,0.0,0.5454545454545454
113,"[-1,-1,0,1]","[1,1,0,1]",0.2,0.1,0.7
114,"[-1,-1,1,0]","[-1,-1,0,-1]",0.8181818181818182,0.0,0.18181818181818182
115,"[-1,-1,1,0]","[-1,0,0,-1]",0.8,0.1,0.1
116,"[-1,-1,1,0]","[-1,0,1,-1]",0.5833333333333334,0.3333333333333333,0.08333333333333333
117,"[-1,-1,1,0]","[-1,0,1,0]",0.2727272727272727,0.36363636363636365,0.36363636363636365
118,"[-1,-1,1,0]","[-1,0,1,1]",0.3333333333333333,0.5833333333333334,0.08333333333333333
119,"[-1,-1,1,0]","[-1,1,0,-1]",0.5,0.08333333333333333,0.4166666666666667
120,"[-1,-1,1,0]","[-1,1,0,0]",0.2727272727272727,0.0,0.7272727272727273
121,"[-1,-1,1,0]","[0,-1,-1,1]",0.8,0.0,0.2
122,"[-1,-1,1,0]","[0,-1,0,-1]",0.75,0.16666666666666666,0.08333333333333333
123,"[-1,-1,1,0]","[0,-1,0,1]",0.18181818181818182,0.09090909090909091,0.7272727272727273
124,"[-1,-1,1,0]","[0,0,-1,1]",0.8181818181818182,0.18181818181818182,0.0
125,"[-1,-1,1,0]","[0,1,-1,0]",0.6,0.1,0.3
126,"[-1,-1,1,0]","[0,1,-1,1]",0.7272727272727273,0.0,0.2727272727272727
127,"[-1,-1,1,0]","[0,1,0,-1]",0.6,0.0,0.4
128,"[-1,-1,1,0]","[0,1,0,1]",0.3333333333333333,0.08333333333333333,0.5833333333333334
129,"[-1,-1,1,0]","[0,1,1,-1]",0.5,0.3333333333333333,0.16666666666666666
130,"[-1,-1,1,0]","[1,-1,0,-1]",0.7,0.0,0.3
131,"[-1,-1,1,0]","[1,-1,0,0]",0.6,0.0,0.4
