,effortsLeft,effortsRight,r01,r02,r12
207,"[-1,0,-1,1]","[0,-1,0,1]",0.07692307692307693,0.15384615384615385,0.7692307692307693
208,"[-1,0,-1,1]","[0,-1,1,0]",0.5,0.1,0.4
209,"[-1,0,-1,1]","[0,-1,1,1]",0.4,0.5,0.1
210,"[-1,0,-1,1]","[0,0,-1,1]",0.09090909090909091,0.9090909090909091,0.0
211,"[-1,0,-1,1]","[0,0,1,-1]",0.4,0.0,0.6
212,"[-1,0,-1,1]","[0,0,1,1]",0.3,0.4,0.3
213,"[-1,0,-1,1]","[0,1,1,-1]",0.9090909090909091,0.0,0.09090909090909091
214,"[-1,0,-1,1]","[0,1,1,1]",0.2727272727272727,0.18181818181818182,0.5454545454545454
215,"[-1,0,-1,1]","[1,-1,0,-1]",0.2,0.0,0.8
216,"[-1,0,-1,1]","[1,-1,0,0]",0.2,0.4,0.4
217,"[-1,0,-1,1]","[1,-1,1,0]",0.2,0.1,0.7
218,"[-1,0,-1,1]","[1,0,-1,1]",0.18181818181818182,0.8181818181818182,0.0
219,"[-1,0,-1,1]","[1,0,1,-1]",0.6666666666666666,0.0,0.3333333333333333
220,"[-1,0,-1,1]","[1,0,1,0]",0.2727272727272727,0.09090909090909091,0.6363636363636364
221,"[-1,0,-1,1]","[1,0,1,1]",0.36363636363636365,0.18181818181818182,0.45454545454545453
222,"[-1,0,-1,1]","[1,1,-1,0]",0.36363636363636365,0.2727272727272727,0.36363636363636365
223,"[-1,0,-1,1]","[1,1,0,0]",0.2,0.2,0.6
224,"[-1,0,-1,1]","[1,1,0,1]",0.1,0.0,0.9
225,"[-1,0,0,-1]","[-1,-1,-1,0]",0.18181818181818182,0.0,0.8181818181818182
226,"[-1,0,0,-1]","[-1,-1,0,0]",0.16666666666666666,0.08333333333333333,0.75
227,"[-1,0,0,-1]","[-1,0,-1,1]",0.1,0.0,0.9
228,"[-1,0,0,-1]","[-1,0,0,1]",0.2,0.1,0.7
229,"[-1,0,0,-1]","[-1,0,1,-1]",0.17647058823529413,0.7647058823529411,0.058823529411764705
230,"[-1,0,0,-1]","[-1,0,1,0]",0.23529411764705882,0.23529411764705882,0.5294117647058824
231,"[-1,0,0,-1]","[-1,0,1,1]",0.6,0.0,0.4
232,"[-1,0,0,-1]","[-1,1,0,-1]",0.0,1.0,0.0
233,"[-1,0,0,-1]","[-1,1,0,1]",0.3,0.0,0.7
234,"[-1,0,0,-1]","[-1,1,1,0]",0.3076923076923077,0.38461538461538464,0.3076923076923077
235,"[-1,0,0,-1]","[0,-1,-1,-1]",0.18181818181818182,0.6363636363636364,0.18181818181818182
236,"[-1,0,0,-1]","[0,-1,0,-1]",0.3,0.6,0.1
237,"[-1,0,0,-1]","[0,-1,1,0]",0.16666666666666666,0.25,0.5833333333333334
238,"[-1,0,0,-1]","[0,-1,1,1]",0.38461538461538464,0.3076923076923077,0.3076923076923077
239,"[-1,0,0,-1]","[0,1,-1,0]",0.0,0.3,0.7
240,"[-1,0,0,-1]","[0,1,0,-1]",0.2727272727272727,0.7272727272727273,0.0
241,"[-1,0,0,-1]","[0,1,0,1]",0.1,0.0,0.9
242,"[-1,0,0,-1]","[1,-1,1,0]",0.4166666666666667,0.0,0.5833333333333334
243,"[-1,0,0,-1]","[1,0,-1,1]",0.38461538461538464,0.0,0.6153846153846154
244,"[-1,0,0,-1]","[1,0,0,-1]",0.09090909090909091,0.6363636363636364,0.2727272727272727
245,"[-1,0,0,-1]","[1,0,0,1]",0.2727272727272727,0.0,0.7272727272727273
246,"[-1,0,0,-1]","[1,0,1,-1]",0.2,0.6666666666666666,0.13333333333333333
247,"[-1,0,0,-1]","[1,0,1,0]",0.3,0.2,0.5
248,"[-1,0,0,-1]","[1,0,1,1]",0.25,0.0,0.75
249,"[-1,0,0,-1]","[1,1,-1,0]",0.5,0.4,0.1
250,"[-1,0,0,-1]","[1,1,0,0]",0.0,0.6,0.4
251,"[-1,0,0,-1]","[1,1,1,0]",0.18181818181818182,0.6363636363636364,0.18181818181818182
252,"[-1,0,0,1]","[-1,-1,0,-1]",0.5454545454545454,0.09090909090909091,0.36363636363636365
253,"[-1,0,0,1]","[-1,-1,0,0]",0.18181818181818182,0.5454545454545454,0.2727272727272727
254,"[-1,0,0,1]","[-1,-1,1,0]",0.6,0.3,0.1
255,"[-1,0,0,1]","[-1,0,-1,0]",0.5,0.2,0.3
256,"[-1,0,0,1]","[-1,0,-1,1]",0.6363636363636364,0.2727272727272727,0.09090909090909091
257,"[-1,0,0,1]","[-1,0,1,-1]",0.8,0.0,0.2
258,"[-1,0,0,1]","[-1,1,0,-1]",0.9090909090909091,0.09090909090909091,0.0
259,"[-1,0,0,1]","[-1,1,0,0]",0.5454545454545454,0.0,0.45454545454545453
260,"[-1,0,0,1]","[-1,1,0,1]",0.6,0.2,0.2
