,effortsLeft,effortsRight,r01,r02,r12
104,"[-1,-1,0,1]","[0,0,1,1]",0.5454545454545454,0.09090909090909091,0.36363636363636365
105,"[-1,-1,0,1]","[0,1,-1,-1]",0.5,0.0,0.5
106,"[-1,-1,0,1]","[0,1,0,-1]",0.9,0.0,0.1
107,"[-1,-1,0,1]","[1,-1,-1,0]",0.6153846153846154,0.07692307692307693,0.3076923076923077
108,"[-1,-1,0,1]","[1,-1,0,-1]",0.7142857142857143,0.07142857142857142,0.21428571428571427
109,"[-1,-1,0,1]","[1,-1,0,1]",0.2,0.2,0.6
110,"[-1,-1,0,1]","[1,-1,1,0]",0.36363636363636365,0.09090909090909091,0.5454545454545454
111,"[-1,-1,0,1]","[1,0,0,1]",0.36363636363636365,0.0,0.6363636363636364
112,"[-1,-1,0,1]","[1,0,1,0]",0.7,0.0,0.3
113,"[-1,-1,0,1]","[1,1,0,1]",0.2727272727272727,0.18181818181818182,0.5454545454545454
114,"[-1,-1,1,0]","[-1,-1,0,-1]",0.8,0.1,0.1
115,"[-1,-1,1,0]","[-1,0,0,-1]",0.6363636363636364,0.18181818181818182,0.18181818181818182
116,"[-1,-1,1,0]","[-1,0,1,-1]",0.5,0.2,0.3
117,"[-1,-1,1,0]","[-1,0,1,0]",0.2,0.5,0.3
118,"[-1,-1,1,0]","[-1,0,1,1]",0.6,0.2,0.2
119,"[-1,-1,1,0]","[-1,1,0,-1]",0.6363636363636364,0.0,0.36363636363636365
120,"[-1,-1,1,0]","[-1,1,0,0]",0.3333333333333333,0.13333333333333333,0.5333333333333333
121,"[-1,-1,1,0]","[0,-1,-1,1]",1.0,0.0,0.0
122,"[-1,-1,1,0]","[0,-1,0,-1]",0.7,0.0,0.3
123,"[-1,-1,1,0]","[0,-1,0,1]",0.9,0.0,0.1
124,"[-1,-1,1,0]","[0,0,-1,1]",0.7,0.0,0.3
125,"[-1,-1,1,0]","[0,1,-1,0]",0.7,0.2,0.1
126,"[-1,-1,1,0]","[0,1,-1,1]",0.8,0.0,0.2
127,"[-1,-1,1,0]","[0,1,0,-1]",0.5454545454545454,0.18181818181818182,0.2727272727272727
128,"[-1,-1,1,0]","[0,1,0,1]",0.4,0.0,0.6
129,"[-1,-1,1,0]","[0,1,1,-1]",0.36363636363636365,0.36363636363636365,0.2727272727272727
130,"[-1,-1,1,0]","[1,-1,0,-1]",0.6363636363636364,0.0,0.36363636363636365
131,"[-1,-1,1,0]","[1,-1,0,0]",0.25,0.0625,0.6875
132,"[-1,-1,1,0]","[1,-1,1,0]",0.5454545454545454,0.18181818181818182,0.2727272727272727
133,"[-1,-1,1,0]","[1,0,-1,-1]",0.9,0.0,0.1
134,"[-1,-1,1,0]","[1,0,-1,0]",0.7272727272727273,0.09090909090909091,0.18181818181818182
135,"[-1,-1,1,0]","[1,0,0,-1]",0.6,0.0,0.4
136,"[-1,-1,1,0]","[1,0,0,1]",0.3,0.1,0.6
137,"[-1,-1,1,0]","[1,0,1,-1]",0.45454545454545453,0.45454545454545453,0.09090909090909091
138,"[-1,-1,1,0]","[1,0,1,1]",0.5454545454545454,0.18181818181818182,0.2727272727272727
139,"[-1,-1,1,0]","[1,1,-1,0]",0.7272727272727273,0.0,0.2727272727272727
140,"[-1,-1,1,0]","[1,1,0,-1]",0.7,0.1,0.2
141,"[-1,-1,1,0]","[1,1,0,1]",0.2727272727272727,0.18181818181818182,0.5454545454545454
142,"[-1,-1,1,0]","[1,1,1,0]",0.5454545454545454,0.18181818181818182,0.2727272727272727
143,"[-1,0,-1,-1]","[-1,-1,-1,0]",0.0,0.3,0.7
144,"[-1,0,-1,-1]","[-1,-1,0,-1]",0.26666666666666666,0.4666666666666667,0.26666666666666666
145,"[-1,0,-1,-1]","[-1,-1,1,0]",0.0,0.3,0.7
146,"[-1,0,-1,-1]","[-1,0,-1,1]",0.1,0.3,0.6
147,"[-1,0,-1,-1]","[-1,0,0,-1]",0.1,0.5,0.4
148,"[-1,0,-1,-1]","[-1,0,0,1]",0.1,0.0,0.9
149,"[-1,0,-1,-1]","[-1,0,1,0]",0.1,0.3,0.6
150,"[-1,0,-1,-1]","[-1,0,1,1]",0.2,0.1,0.7
151,"[-1,0,-1,-1]","[-1,1,1,0]",0.2,0.2,0.6
152,"[-1,0,-1,-1]","[0,-1,-1,1]",0.2727272727272727,0.36363636363636365,0.36363636363636365
153,"[-1,0,-1,-1]","[0,-1,0,-1]",0.1,0.6,0.3
154,"[-1,0,-1,-1]","[0,-1,0,1]",0.2,0.0,0.8
155,"[-1,0,-1,-1]","[0,-1,1,1]",0.07142857142857142,0.0,0.9285714285714286
156,"[-1,0,-1,-1]","[0,0,-1,1]",0.0,0.2727272727272727,0.7272727272727273
157,"[-1,0,-1,-1]","[0,1,-1,-1]",0.1,0.7,0.2
158,"[-1,0,-1,-1]","[0,1,-1,0]",0.09090909090909091,0.45454545454545453,0.45454545454545453
159,"[-1,0,-1,-1]","[0,1,-1,1]",0.3,0.2,0.5
160,"[-1,0,-1,-1]","[0,1,0,1]",0.4,0.0,0.6
161,"[-1,0,-1,-1]","[0,1,1,0]",0.1,0.2,0.7
162,"[-1,0,-1,-1]","[1,-1,0,0]",0.07142857142857142,0.0,0.9285714285714286
163,"[-1,0,-1,-1]","[1,0,-1,0]",0.1,0.2,0.7
164,"[-1,0,-1,-1]","[1,0,0,-1]",0.0625,0.4375,0.5
165,"[-1,0,-1,-1]","[1,0,0,1]",0.2,0.1,0.7
166,"[-1,0,-1,-1]","[1,0,1,0]",0.058823529411764705,0.0,0.9411764705882353
