2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
