,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_1,alpha_1_0,alpha_0_2,alpha_2_0,alpha_1_2,alpha_2_1,direct_comparison_value,most_preferred_pair
401,"[(-1, 0, -1, 1), (1, 0, -1, 1)]",0,2,10,0.666666666666667,0_2,-0.666666666666667,-0.333333333333333,0.666666666666667,0.333333333333334,0.333333333333333,-0.333333333333334,0.666666666666667,"(0, 2)"
402,"[(-1, 0, -1, 1), (1, 0, 0, -1)]",0,1,11,0.6875,0_1,0.625,0.4375,-0.625,-0.1875,-0.4375,0.1875,0.0625,"(0, 1)"
403,"[(-1, 0, -1, 1), (1, 0, 0, 1)]",1,2,8,0.8,1_2,0.0,-0.7000000000000001,0.0,-0.7000000000000001,0.7000000000000001,0.7000000000000001,0.1,"(1, 2)"
404,"[(-1, 0, -1, 1), (1, 0, 1, -1)]",0,1,6,0.6,0_1,0.5,0.3,-0.5,-0.19999999999999998,-0.3,0.19999999999999998,0.1,"(0, 1)"
405,"[(-1, 0, -1, 1), (1, 0, 1, 0)]",1,2,7,0.7,1_2,0.1,-0.49999999999999994,-0.1,-0.6,0.49999999999999994,0.6,0.1,"(1, 2)"
406,"[(-1, 0, -1, 1), (1, 0, 1, 1)]",1,2,5,0.454545454545455,1_2,0.181818181818182,-0.090909090909091,-0.181818181818182,-0.272727272727273,0.090909090909091,0.272727272727273,0.181818181818182,"(1, 2)"
407,"[(-1, 0, -1, 1), (1, 1, -1, 0)]",0,2,5,0.5,0_2,-0.3,-0.09999999999999998,0.3,0.2,0.09999999999999998,-0.2,0.5,"(0, 2)"
408,"[(-1, 0, -1, 1), (1, 1, 0, -1)]",0,1,7,0.7,0_1,0.6,0.49999999999999994,-0.6,-0.1,-0.49999999999999994,0.1,0.1,"(0, 1)"
409,"[(-1, 0, -1, 1), (1, 1, 0, 0)]",1,2,6,0.6,1_2,0.4,-0.19999999999999996,-0.4,-0.6,0.19999999999999996,0.6,0.0,"(1, 2)"
410,"[(-1, 0, -1, 1), (1, 1, 0, 1)]",1,2,7,0.636363636363636,1_2,0.0,-0.45454545454545403,0.0,-0.45454545454545403,0.45454545454545403,0.45454545454545403,0.181818181818182,"(1, 2)"
411,"[(-1, 0, -1, 1), (1, 1, 1, 0)]",1,2,6,0.6,1_2,0.4,-0.19999999999999996,-0.4,-0.6,0.19999999999999996,0.6,0.0,"(1, 2)"
412,"[(-1, 0, 0, -1), (-1, 0, 0, 1)]",1,2,10,0.666666666666667,1_2,0.06666666666666701,-0.46666666666666695,-0.06666666666666701,-0.533333333333334,0.46666666666666695,0.533333333333334,0.133333333333333,"(1, 2)"
413,"[(-1, 0, 0, -1), (-1, 0, 1, -1)]",0,2,8,0.5,0_2,-0.25,0.0,0.25,0.25,0.0,-0.25,0.5,"(0, 2)"
414,"[(-1, 0, 0, -1), (-1, 0, 1, 0)]",1,2,8,0.5,1_2,0.0,-0.25,0.0,-0.25,0.25,0.25,0.25,"(1, 2)"
415,"[(-1, 0, 0, -1), (-1, 0, 1, 1)]",1,2,9,0.818181818181818,1_2,0.181818181818182,-0.636363636363636,-0.181818181818182,-0.818181818181818,0.636363636363636,0.818181818181818,0.0,"(1, 2)"
416,"[(-1, 0, 0, -1), (-1, 1, -1, 0)]",0,1,7,0.7,0_1,0.7,0.39999999999999997,-0.7,-0.3,-0.39999999999999997,0.3,0.0,"(0, 1)"
417,"[(-1, 0, 0, -1), (-1, 1, 0, -1)]",0,2,9,0.818181818181818,0_2,-0.636363636363636,0.181818181818182,0.636363636363636,0.818181818181818,-0.181818181818182,-0.818181818181818,0.818181818181818,"(0, 2)"
418,"[(-1, 0, 0, -1), (-1, 1, 0, 0)]",1,2,7,0.7,1_2,-0.1,-0.6,0.1,-0.49999999999999994,0.6,0.49999999999999994,0.2,"(1, 2)"
419,"[(-1, 0, 0, -1), (-1, 1, 0, 1)]",1,2,9,0.9,1_2,0.1,-0.8,-0.1,-0.9,0.8,0.9,0.0,"(1, 2)"
420,"[(-1, 0, 0, -1), (-1, 1, 1, 0)]",1,2,5,0.5,1_2,-0.30000000000000004,-0.4,0.30000000000000004,-0.09999999999999998,0.4,0.09999999999999998,0.4,"(1, 2)"
