,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_2,alpha_2_0,alpha_0_1,alpha_2_1,alpha_1_0,alpha_1_2,direct_comparison_value
513,"[(-1, 0, 1, -1), (0, -1, -1, 0)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.6,0.0,0.19999999999999996,0.0
514,"[(-1, 0, 1, -1), (0, -1, -1, 1)]",1,2,8,0.727272727272727,1_2,0.0,0.0,0.0,0.727272727272727,0.0,0.454545454545454,0.0
515,"[(-1, 0, 1, -1), (0, -1, 0, -1)]",0,2,7,0.7,0_2,0.6,0.49999999999999994,0.0,0.0,0.0,0.0,0.7
516,"[(-1, 0, 1, -1), (0, -1, 0, 1)]",1,2,12,0.923076923076923,1_2,0.0,0.0,0.0,0.8461538461538461,0.0,0.923076923076923,0.0769230769230769
517,"[(-1, 0, 1, -1), (0, -1, 1, -1)]",0,2,7,0.636363636363636,0_2,0.45454545454545403,0.45454545454545403,0.0,0.0,0.0,0.0,0.636363636363636
518,"[(-1, 0, 1, -1), (0, -1, 1, 0)]",0,2,5,0.5,0_2,0.5,0.0,0.0,0.0,0.0,0.0,0.5
519,"[(-1, 0, 1, -1), (0, -1, 1, 1)]",0,2,6,0.5,0_2,0.4166666666666667,0.08333333333333298,0.0,0.0,0.0,0.0,0.5
520,"[(-1, 0, 1, -1), (0, 0, -1, -1)]",0,1,4,0.4,0_1,0.0,0.0,0.0,0.0,0.2,0.0,0.4
521,"[(-1, 0, 1, -1), (0, 0, -1, 1)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.7,0.0,0.39999999999999997,0.0
522,"[(-1, 0, 1, -1), (0, 0, 1, -1)]",0,2,6,0.5,0_2,0.08333333333333298,0.4166666666666667,0.0,0.0,0.0,0.0,0.5
523,"[(-1, 0, 1, -1), (0, 0, 1, 1)]",1,2,5,0.454545454545455,1_2,0.0,0.0,0.0,0.090909090909091,0.0,0.272727272727273,0.363636363636364
524,"[(-1, 0, 1, -1), (0, 1, -1, -1)]",0,1,5,0.416666666666667,0_1,0.0,0.0,0.0,0.0,0.25,0.0,0.416666666666667
525,"[(-1, 0, 1, -1), (0, 1, -1, 0)]",0,1,6,0.5,0_1,0.0,0.0,0.4166666666666667,0.0,0.08333333333333298,0.0,0.0833333333333333
526,"[(-1, 0, 1, -1), (0, 1, -1, 1)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.545454545454545,0.0,0.09090909090909,0.0
527,"[(-1, 0, 1, -1), (0, 1, 0, -1)]",0,2,7,0.636363636363636,0_2,0.45454545454545403,0.45454545454545403,0.0,0.0,0.0,0.0,0.636363636363636
528,"[(-1, 0, 1, -1), (0, 1, 0, 1)]",1,2,10,0.909090909090909,1_2,0.0,0.0,0.0,0.909090909090909,0.0,0.818181818181818,0.0
529,"[(-1, 0, 1, -1), (0, 1, 1, -1)]",0,2,9,0.75,0_2,0.583333333333333,0.6666666666666667,0.0,0.0,0.0,0.0,0.75
530,"[(-1, 0, 1, -1), (0, 1, 1, 0)]",0,2,6,0.6,0_2,0.5,0.3,0.0,0.0,0.0,0.0,0.6
